202508,36.135421753,-96.115509033,36.136775970,-96.115386963, M, S1200, N Wilson Ave,OK,Y,46.70
202509,36.298465729,-95.990242004,36.297954559,-95.989654541, M, S1200, N Umbrella Ave,OK,Y,23.58
202510,36.293102264,-95.973937988,36.285839081,-95.973640442, M, S1200, N Peoria Ave,OK,Y,247.41
202512,35.295558929,-98.987586975,35.295303345,-98.986473083, M, S1200, N Glenn L English St,OK,Y,33.11
202513,35.284038544,-99.134948730,35.288303375,-99.134941101, M, S1200, N Rambo Dr,OK,Y,144.56
202514,34.386112213,-96.128181458,34.389717102,-96.126693726, M, S1200, N Mississippi Ave,OK,Y,129.06
202515,34.389717102,-96.126693726,34.394039154,-96.124839783, M, S1200, N Mississippi Ave,OK,Y,155.47
202516,34.464218140,-96.059898376,34.468143463,-96.056167603, M, S1200, N Mississippi Ave,OK,Y,169.34
202517,35.177886963,-99.641952515,35.254417419,-99.646789551, M, S1200, N 1882,OK,Y,2626.45
202518,35.334747314,-99.637901306,35.421707153,-99.655685425, M, S1200, N 1870,OK,Y,3108.87
202519,34.985492706,-98.233787537,35.021621704,-98.233703613, M, S1200, N Baskett,OK,Y,1224.55
202520,35.308776855,-98.341705322,35.319503784,-98.344810486, M, S1200, N Broadway,OK,Y,393.31
202521,35.109863281,-98.603294373,35.120910645,-98.600914001, M, S1200, N Carnegie St,OK,Y,388.00
202522,33.997123718,-95.469284058,34.018703461,-95.469314575, M, S1200, N 4250 Rd,OK,Y,731.41
202523,36.023555756,-96.112083435,36.006565094,-96.112014771, M, S1200, N 9th St,OK,Y,576.23
202524,36.027648926,-96.112678528,36.023555756,-96.112083435, M, S1200, N Park St,OK,Y,140.54
202525,35.514896393,-98.964782715,35.515384674,-98.964782715, M, S1200, N 4th St,OK,Y,16.54
202526,35.855716705,-98.969078064,35.858100891,-98.969055176, M, S1200, N Main St,OK,Y,80.74
202527,35.867897034,-99.347259521,35.873676300,-99.347335815, M, S1200, N Main St,OK,Y,195.84
202528,36.315429688,-99.754173279,36.318149567,-99.755943298, M, S1200, N Main St,OK,Y,104.23
202529,34.915840149,-97.778823853,34.920429230,-97.778617859, M, S1200, N Main St,OK,Y,156.37
202530,35.305469513,-97.723937988,35.290924072,-97.723968506, M, S1200, N Mustang Rd,OK,Y,493.01
202532,35.101257324,-96.405998230,35.115772247,-96.406013489, M, S1200, N S 371,OK,Y,493.16
202533,34.255008698,-96.671081543,34.259552002,-96.671096802, M, S1200, N Kemp Ave,OK,Y,153.91
202537,35.863044739,-97.932723999,35.864082336,-97.932708740, M, S1200, N Main St,OK,Y,35.15
202538,35.709938049,-96.883743286,35.722606659,-96.884704590, M, S1200, N Price Ave,OK,Y,436.07
202539,35.747032166,-96.662803650,35.757919312,-96.662818909, M, S1200, N 8th Ave,OK,Y,369.11
202540,35.879077911,-97.424041748,35.885326385,-97.424087524, M, S1200, N Wentz St,OK,Y,211.74
202541,35.878032684,-97.425354004,35.879066467,-97.425338745, M, S1200, N Division St,OK,Y,35.02
202542,35.203605652,-97.653083801,35.249935150,-97.653213501, M, S1200, N Council Rd,OK,Y,1570.32
202543,35.146263123,-97.653755188,35.195922852,-97.653007507, M, S1200, N Council Rd,OK,Y,1687.75
202544,35.144840240,-97.658340454,35.145843506,-97.658340454, M, S1200, N Main Ave,OK,Y,34.03
202545,35.770858765,-95.340354919,35.779872894,-95.340156555, M, S1200, N York St,OK,Y,306.16
202547,35.584247589,-97.582611084,35.620033264,-97.585090637, M, S1200, N Portland Ave,OK,Y,1222.13
202548,35.609924316,-95.860221863,35.624279022,-95.859855652, M, S1200, N Hughes Ave,OK,Y,491.50
202549,35.673515320,-95.961860657,35.646671295,-95.961860657, M, S1200, N Wood Dr,OK,Y,909.79
202550,36.355091095,-96.800048828,36.362262726,-96.797698975, M, S1200, N Sewell Dr,OK,Y,252.69
202551,36.191333771,-97.069854736,36.202251434,-97.069923401, M, S1200, N Washington St,OK,Y,370.35
202552,35.361759186,-96.929824829,35.366657257,-96.929809570, M, S1200, N Kickapoo St,OK,Y,166.04
202553,35.380779266,-96.912086487,35.383762360,-96.912178040, M, S1200, N Harrison St,OK,Y,101.15
202555,36.184505463,-95.744422913,36.191509247,-95.733932495, S, S1200, N State Hwy 66,OK,Y,374.25
202556,36.319801331,-95.632690430,36.336677551,-95.632446289, M, S1200, N Hwy 88,OK,Y,572.13
202557,34.957324982,-96.752105713,34.959854126,-96.752037048, M, S1200, N Broadway St,OK,Y,85.77
202558,35.246208191,-96.671180725,35.239265442,-96.671173096, M, S1200, N Milt Phillips Ave,OK,Y,235.35
202559,35.333442688,-96.459014893,35.337112427,-96.459030151, M, S1200, N Shawnee Ave,OK,Y,124.45
202560,36.394691467,-95.991401672,36.409187317,-95.991439819, M, S1200, N Cincinnati Ave,OK,Y,491.30
202561,36.359317780,-95.991394043,36.387397766,-95.991401672, M, S1200, N Cincinnati Ave,OK,Y,951.75
202562,36.364635468,-95.848045349,36.365703583,-95.848068237, M, S1200, N Garnett Rd,OK,Y,36.17
202563,36.229785919,-95.975578308,36.230594635,-95.975555420, M, S1200, N 13th E Ave,OK,Y,27.36
202564,36.300312042,-95.991416931,36.298465729,-95.990242004, M, S1200, N Cincinnati Ave,OK,Y,70.60
202565,36.296127319,-95.977188110,36.293102264,-95.973937988, M, S1200, N Peoria Ave,OK,Y,139.21
202567,34.458072662,-96.066513062,34.462783813,-96.061454773, M, S1200, N Mississippi Ave,OK,Y,213.30
202568,34.454116821,-96.069854736,34.458072662,-96.066513062, M, S1200, N Mississippi Ave,OK,Y,164.42
202569,34.462783813,-96.061454773,34.464218140,-96.059898376, M, S1200, N Mississippi Ave,OK,Y,65.26
202570,35.412769318,-99.399803162,35.413440704,-99.399673462, M, S1200, N Van Buren Ave,OK,Y,23.17
202571,35.363285065,-99.505500793,35.363914490,-99.505500793, M, S1200, N 1960,OK,Y,21.35
202572,35.116989136,-99.557212830,35.177886963,-99.641952515, M, S1200, N 1882,OK,Y,3146.26
202573,35.363704681,-99.637817383,35.378223419,-99.637802124, M, S1200, N 1875,OK,Y,492.03
202574,35.536857605,-98.114173889,35.602817535,-98.118652344, M, S1200, N Calumet Rd,OK,Y,2271.24
202575,34.176189423,-97.143234253,34.303653717,-97.142959595, M, S1200, N Commerce St,OK,Y,4320.63
202576,34.186630249,-97.123107910,34.172588348,-97.128349304, M, S1200, N Washington St,OK,Y,498.57
202577,34.074665070,-95.469314575,34.075168610,-95.469314575, M, S1200, N 4250 Rd,OK,Y,17.08
202578,34.271011353,-98.235870361,34.275196075,-98.235862732, M, S1200, N Commercial Ave,OK,Y,141.91
202579,35.955894470,-96.071800232,35.949287415,-96.065200806, U, S1200, N US Hwy 75A,OK,Y,293.31
202580,35.521888733,-98.967185974,35.526824951,-98.967178345, M, S1200, N 6th St,OK,Y,167.33
202583,34.616149902,-97.396492004,34.622982025,-97.396453857, M, S1200, N Main St,OK,Y,231.96
202584,34.791301727,-97.956298828,34.794425964,-97.957984924, M, S1200, N Rush Ave,OK,Y,117.14
202585,35.237323761,-96.241653442,35.239425659,-96.241645813, M, S1200, N Main St,OK,Y,71.24
202586,34.637817383,-99.333930969,34.750911713,-99.334960938, M, S1200, N Main St,OK,Y,3833.35
202588,35.981048584,-97.911697388,35.983589172,-97.911422729, M, S1200, N Chisholm Ave,OK,Y,86.98
202590,35.885326385,-97.424087524,35.895580292,-97.424171448, M, S1200, N Wentz St,OK,Y,347.72
202591,35.956630707,-97.423072815,35.984157562,-97.425102234, M, S1200, N Sooner Rd,OK,Y,940.56
202592,36.064853668,-97.407081604,36.068126678,-97.406921387, M, S1200, N Main St,OK,Y,111.20
202593,35.276473999,-97.600135803,35.247432709,-97.600128174, M, S1200, N Main St,OK,Y,984.25
202594,35.144840240,-97.658340454,35.145843506,-97.658340454, M, S1200, N Main,OK,Y,34.03
202595,35.143829346,-97.658340454,35.144840240,-97.658340454, M, S1200, N Main Ave,OK,Y,34.23
